bestand_id,hogstkl_verdi,bonitet,treslag,arealm2,alder,DN,srhoydeo,srtrean,srgrflate,srvolmb,srvolub,AU,Ht40,height,yearly_height_growth,N_per_hectare,delta_N_per_hectare,G1,G2,volume_per_hectare,volume_per_hectare_next_year,volume_per_hectare_without_bark,volume,volume_next_year,volume_growth_next_year,volume_growth_factor,volume_without_bark,avg_price_m3,gross_value_standing_volume,gross_value_yearly_growth,years_to_maturity,volume_at_maturity,volume_at_maturity_without_bark,gross_value_at_maturity,NPV,carbon_stored,carbon_captured_next_year
1-267,4,14,Furu,66876,65,89,190.1236317,1265.525694,26.07800088,222.731929,192.3205268,0,11.1,19.01236317,0.2408500106,1265.525694,-5.280396071,26.07800088,26.61030691,221.0795386,228.1719957,192.3391986,1478.491522,1525.923038,47.43151584,0.03208101983,1286.287624,698.9333333,899029.2969,28841.7767,2,1603.53288,1395.073606,975063.4454,919090.8148,1831296.562,58749.86131
1-276,5,11,Furu,6748,100,55,185.6936676,1199.983774,24.41548945,201.1448606,173.5690692,0,8.3,18.56936676,0.1293372343,1199.983774,-7.234888033,24.41548945,24.71206059,205.2384991,209.0192434,178.5574942,138.4949392,141.0461855,2.551246289,0.01842122394,120.4905971,691.2333333,83287.11706,1534.250635,1,142.6894995,124.1398646,85809.61239,83310.30329,171543.294,3160.037435
1-282,3,14,Gran,36705,55,61,174.6901549,1274.071343,21.91158557,157.5413085,134.675731,0,10.1,17.46901549,0.2402361146,1274.071343,-13.67624713,21.91158557,22.4148723,164.1382756,170.6976447,142.8002998,602.4695407,626.5457048,24.07616406,0.03996245857,524.1485004,724.4666667,379728.1169,15174.86914,10,870.2633808,757.1291413,548514.8252,408146.5437,746233.8349,29821.33871
1-269,5,8,Furu,78542,140,76,183.1247872,826.9342698,19.75956388,159.5989788,137.3850368,0,5.6,18.31247872,0.07501650815,826.9342698,-2.001324087,19.75956388,19.95672909,166.0469924,168.2980343,144.4608834,1304.166287,1321.846421,17.68013349,0.01355665582,1134.62467,683.5333333,775553.7828,10513.9157,0,1304.166287,1134.62467,775553.7828,775553.7828,1615372.968,21899.05535
1-284,5,6,Furu,8020,130,48,148.0552694,765.1824748,14.82819201,98.80355614,84.41088279,0,4,14.80552694,0.07342240983,765.1824748,-0.3057729537,14.82819201,15.02003697,103.3811938,105.1645613,89.94163864,82.91171746,84.34197819,1.430260725,0.01725040523,72.13319419,678.4,48935.15894,844.1513219,0,82.91171746,72.13319419,48935.15894,48935.15894,102696.526,1771.55669
1-289,2,17,Gran,18777,20,50,141.8829935,1141.025851,14.81661989,100.0774209,84.98520516,0,13.1,14.18829935,0.5632375404,1141.025851,-9.346041224,14.81661989,16.03462716,91.29209761,103.4189732,79.42412492,171.4191717,194.1898059,22.77063421,0.1328359832,149.1346794,732.8166667,109288.3786,14517.42923,31,1201.573856,1045.369255,766064.0127,306415.7574,212324.0715,28204.2768
1-281,4,17,Gran,13477,55,56,186.571774,1587.994733,27.91304313,224.2633276,192.5637008,0,13.1,18.6571774,0.2554228998,1587.994733,-30.79038117,27.91304313,28.4531327,231.7574461,240.0236692,201.6289781,312.3395101,323.479899,11.14038887,0.0356675621,271.7353738,732.8166667,199132.2109,7102.560496,6,387.6574707,337.2619995,247151.2143,206985.251,386871.5257,13798.76417
1-280,4,17,Gran,18750,60,57,199.1312317,1481.26677,28.92848424,246.321451,212.3997725,0,13.1,19.91312317,0.244990726,1481.26677,-30.77883878,28.92848424,29.41817927,257.0314769,265.1361162,223.6173849,481.9340191,497.1302179,15.19619881,0.03153169979,419.2825966,732.8166667,307257.2749,9688.344149,2,522.1119298,454.237379,332872.7219,313764.4659,596935.5244,18822.39175
1-271,4,14,Gran,9808,60,68,201.9456885,1457.746038,29.39523058,253.2428971,218.4036139,0,10.1,20.19456885,0.2481977551,1457.746038,-17.86067427,29.39523058,29.8911433,265.5513607,273.9034422,231.0296838,260.4527745,268.6444961,8.191721539,0.03145184978,226.5939138,724.4666667,164159.7375,5163.127402,2,282.105834,245.4320756,177807.3577,167600.488,322603.3179,10146.47109
1-265,4,14,Furu,19647,75,72,213.7001837,1271.602277,29.73904054,269.2566542,232.3930106,0,11.1,21.37001837,0.2124657937,1271.602277,-9.236275138,29.73904054,30.18149616,280.6176333,287.3542954,244.1373409,551.3294641,564.5649842,13.23552009,0.02400655316,479.6566338,698.9333333,335248.0099,8048.149171,1,572.5944659,498.1571853,348178.6621,338037.536,682890.4574,16393.84607
